         ps       /tl_tb/tb_dut/x_servo                     /tl_tb/tb_dut/z_servo      
          delta                        /tl_tb/tb_dut/y_servo                           
 3350053900  +4    00001110010101011100 00010010110110101000 00001001110001000000 
 3362554100  +4    00001110011010110100 00010010111001100001 00001001110001000000 
 3375054300  +4    00001110100000001100 00010010111100011011 00001001110001000000 
 3387554500  +4    00001110100101100101 00010010111111010101 00001001110001000000 
 3400054700  +4    00001110101100000011 00010011000001110010 00001001110001000000 
 3412554900  +4    00001110110010100000 00010011000100010000 00001001110001000000 
 3425055100  +4    00001110111000111110 00010011000110101101 00001001110001000000 
 3437555300  +4    00001110111111011100 00010011001001001011 00001001110001000000 
 3450055500  +4    00001111000101111010 00010011001011101000 00001001110001000000 
 3462555700  +4    00001111001100010111 00010011001110000101 00001001110001000000 
 3475055900  +4    00001111010010110101 00010011010000100011 00001001110001000000 
 3487556100  +4    00001111011001010011 00010011010011000000 00001001110001000000 
 3500056300  +4    00001111011111110001 00010011010101011101 00001001110001000000 
 3512556500  +4    00001111100110001110 00010011010111111011 00001001110001000000 
 3525056700  +4    00001111101100101100 00010011011010011000 00001001110001000000 
 3537556900  +4    00001111110011001010 00010011011100110110 00001001110001000000 
 3550057100  +4    00001111111001101000 00010011011111010011 00001001110001000000 
 3562557300  +4    00010000000000000101 00010011100001110000 00001001110001000000 
 3575057500  +4    00010000000110100011 00010011100100001110 00001001110001000000 
 3587557700  +4    00010000001101110110 00010011100110010010 00001001110001000000 
 3600057900  +4    00010000010101001010 00010011101000010101 00001001110001000000 
 3612558100  +4    00010000011100011101 00010011101010011001 00001001110001000000 
 3625058300  +4    00010000100011110000 00010011101100011101 00001001110001000000 
 3637558500  +4    00010000101011000100 00010011101110100001 00001001110001000000 
 3650058700  +4    00010000110010010111 00010011110000100101 00001001110001000000 
 3662558900  +4    00010000111001101010 00010011110010101001 00001001110001000000 
 3675059100  +4    00010001000000111110 00010011110100101101 00001001110001000000 
 3687559300  +4    00010001001000010001 00010011110110110001 00001001110001000000 
 3700059500  +4    00010001001111100100 00010011111000110100 00001001110001000000 
 3712559700  +4    00010001010110111000 00010011111010111000 00001001110001000000 
 3725059900  +4    00010001011110001011 00010011111100111100 00001001110001000000 
 3737560100  +4    00010001100101011110 00010011111111000000 00001001110001000000 
 3750060300  +4    00010001101100110010 00010100000001000100 00001001110001000000 
 3762560500  +4    00010001110100000101 00010100000011001000 00001001110001000000 
